file,ours_len,gt_len,diff,e_mean,e_max
1_1,8.755320175377943,8.623820403744853,0.13149977163308968,0.0702070519421546,0.14958112678465213
1_2,8.372660016953265,8.623820259022212,-0.2511602420689467,0.06368106690468756,0.3811335707667529
1_3,8.166556002151532,8.62382024607551,-0.45726424392397824,0.1410323212565895,0.6806467840807551
1_4,8.876614368858107,8.623820321267166,0.2527940475909407,0.09315048080933676,0.5266022978046473
2_1,9.506863755277847,9.843435719783923,-0.33657196450607607,0.1090285550519497,0.4832594304589428
2_2,9.580276572485893,9.843435705840987,-0.263159133355094,0.12568547325233403,0.3000240183715767
2_3,9.69716477179056,9.843435833594231,-0.146271061803672,0.0641068750709082,0.3265098337402539
2_4,14.77900460263153,9.843435939277269,4.93556866335426,0.28344432640383255,1.6568558448905502
3_1,7.939113833187084,5.349943692055917,2.5891701411311665,0.2148718259059403,0.6826240267860503
3_2,5.3085823005957735,5.349943900887996,-0.041361600292222356,0.08473297462828303,0.19018057311962386
3_3,5.470320280568475,5.3499437864597255,0.12037649410874973,0.06438350861813469,0.27085672439728786
3_4,5.245206938640669,5.349943928320542,-0.1047369896798731,0.06462258067606391,0.1942001220778481
4_1,5.599331212431285,6.282314068153827,-0.6829828557225417,0.06892715488167173,0.36738392514474666
4_2,5.722354249551583,6.282313870214955,-0.5599596206633715,0.05268144339955336,0.26802158898417405
4_3,6.113610630542041,6.2823138638446165,-0.1687032333025753,0.05402915328646544,0.1820190478780533
4_4,6.330909390020412,6.282314114430057,0.0485952755903547,0.0779617279183559,0.32675711281162895
5_1,11.697569663593214,11.60563811538198,0.0919315482112335,0.11317522337710884,0.6501153160781684
5_2,11.4411936678335,11.605637960600301,-0.16444429276680061,0.16053627309436186,0.4664197090471661
5_4,13.037878665260013,11.605638078595925,1.4322405866640882,0.0957553718168715,1.8950120235308563
6_1,12.98092956378674,13.487044270481075,-0.5061147066943352,0.04384825172877307,0.45574032494498906
6_2,13.254742835149209,13.487043822004566,-0.23230098685535694,0.04921017708516456,0.1995374235675557
6_3,17.243826220558795,13.487043555458957,3.7567826650998377,0.16850158241208738,1.6969633292638853
6_4,11.636852182242308,13.487043634040074,-1.850191451797766,0.2811396107440362,1.573884000906959
7_1,10.638080050123826,11.642373259377392,-1.0042932092535661,0.2887848624477697,1.1408282182988956
7_2,10.853386099672743,11.642372740193991,-0.788986640521248,0.10918499536849216,0.537876701938403
7_3,10.816583067720297,11.642372734908394,-0.8257896671880971,0.08951323027719599,0.5117304052422306
7_4,10.803350502172966,11.64237227971124,-0.8390217775382744,0.07322293402382368,0.6084055916052701
8_1,8.994608980227788,12.16778209698226,-3.1731731167544712,0.15246512767420017,0.7706885043540482
8_2,10.408709648196261,12.167781960356365,-1.7590723121601037,0.09684912858190722,0.5354070768992701
8_3,9.30262655149003,12.167782203801615,-2.865155652311584,0.36067798852226235,1.537996407633308
8_4,8.874625156939896,12.167782365459,-3.293157208519105,0.1897045037977857,0.6527259176812658
9_1,12.254696265121336,13.16634429735614,-0.9116480322348046,0.2337025896922243,0.5536612994166694
9_2,12.840613204226596,13.166343992780824,-0.3257307885542282,0.07231221166946591,0.2712267972442881
9_3,12.073383691267189,13.166343756030804,-1.0929600647636146,0.09230197089499703,0.986244236754978
9_4,12.241702601246663,13.166344111920147,-0.9246415106734833,0.11439002895975485,0.5148073236622656
10_1,12.277929291417067,12.778370858453098,-0.5004415670360309,0.1410516707865884,0.35649367144796434
10_2,12.35829085364039,12.778370833276236,-0.42007997963584565,0.15520240936181012,0.5724072201441869
10_3,129.48564798882404,12.778371056509924,116.70727693231412,2.997586375704625,43.99530539437044
10_4,12.225453447967645,12.778370425466678,-0.5529169774990326,0.21823193473324293,2.347752900696781
Failed,5_3
